strain,nextstrain_besttree,nextstrain_0,nextstrain_1,nextstrain_2,nextstrain_3,nextstrain_4,nextstrain_5,nextstrain_6,nextstrain_7,nextstrain_8,nextstrain_9,tnet_bias, tnet_random_sample
EPI_ISL_450203,Germany,Germany,Germany,Germany,Germany,Germany,Germany,Germany,Germany,Germany,Germany,Germany,Germany
EPI_ISL_457998,Spain,Germany,Spain,Spain,Spain,Spain,Spain,Oman,Italy,Spain,SaudiArabia,Spain,Spain
EPI_ISL_450198,Germany,Germany,Germany,Germany,Germany,Belgium,Germany,Germany,Germany,Germany,Germany,Germany,Germany
EPI_ISL_420032,DemocraticRepublicoftheCongo,DemocraticRepublicoftheCongo,DemocraticRepublicoftheCongo,DemocraticRepublicoftheCongo,DemocraticRepublicoftheCongo,DemocraticRepublicoftheCongo,DemocraticRepublicoftheCongo,DemocraticRepublicoftheCongo,DemocraticRepublicoftheCongo,DemocraticRepublicoftheCongo,DemocraticRepublicoftheCongo,DemocraticRepublicoftheCongo,DemocraticRepublicoftheCongo
EPI_ISL_417434,DemocraticRepublicoftheCongo,DemocraticRepublicoftheCongo,DemocraticRepublicoftheCongo,DemocraticRepublicoftheCongo,DemocraticRepublicoftheCongo,DemocraticRepublicoftheCongo,DemocraticRepublicoftheCongo,DemocraticRepublicoftheCongo,DemocraticRepublicoftheCongo,DemocraticRepublicoftheCongo,DemocraticRepublicoftheCongo,DemocraticRepublicoftheCongo,DemocraticRepublicoftheCongo
EPI_ISL_443294,France,France,Switzerland,DemocraticRepublicoftheCongo,France,France,France,France,France,France,France,DemocraticRepublicoftheCongo,DemocraticRepublicoftheCongo
EPI_ISL_451830,France,France,Switzerland,DemocraticRepublicoftheCongo,France,France,France,France,France,France,France,DemocraticRepublicoftheCongo,DemocraticRepublicoftheCongo
EPI_ISL_447240,DemocraticRepublicoftheCongo,DemocraticRepublicoftheCongo,DemocraticRepublicoftheCongo,DemocraticRepublicoftheCongo,DemocraticRepublicoftheCongo,DemocraticRepublicoftheCongo,DemocraticRepublicoftheCongo,DemocraticRepublicoftheCongo,DemocraticRepublicoftheCongo,DemocraticRepublicoftheCongo,Finland,DemocraticRepublicoftheCongo,DemocraticRepublicoftheCongo
EPI_ISL_447248,DemocraticRepublicoftheCongo,DemocraticRepublicoftheCongo,DemocraticRepublicoftheCongo,DemocraticRepublicoftheCongo,DemocraticRepublicoftheCongo,DemocraticRepublicoftheCongo,DemocraticRepublicoftheCongo,DemocraticRepublicoftheCongo,DemocraticRepublicoftheCongo,DemocraticRepublicoftheCongo,DemocraticRepublicoftheCongo,DemocraticRepublicoftheCongo,DemocraticRepublicoftheCongo
EPI_ISL_447235,DemocraticRepublicoftheCongo,DemocraticRepublicoftheCongo,DemocraticRepublicoftheCongo,DemocraticRepublicoftheCongo,DemocraticRepublicoftheCongo,DemocraticRepublicoftheCongo,DemocraticRepublicoftheCongo,DemocraticRepublicoftheCongo,DemocraticRepublicoftheCongo,DemocraticRepublicoftheCongo,DemocraticRepublicoftheCongo,DemocraticRepublicoftheCongo,DemocraticRepublicoftheCongo
EPI_ISL_447232,DemocraticRepublicoftheCongo,DemocraticRepublicoftheCongo,DemocraticRepublicoftheCongo,DemocraticRepublicoftheCongo,DemocraticRepublicoftheCongo,DemocraticRepublicoftheCongo,DemocraticRepublicoftheCongo,DemocraticRepublicoftheCongo,DemocraticRepublicoftheCongo,DemocraticRepublicoftheCongo,DemocraticRepublicoftheCongo,DemocraticRepublicoftheCongo,DemocraticRepublicoftheCongo
EPI_ISL_434657,Spain,Spain,Russia,Spain,Spain,Spain,Sweden,UnitedArabEmirates,Sweden,Spain,Spain,Spain,Spain
EPI_ISL_444975,Spain,Spain,Spain,Spain,Spain,Spain,Spain,Spain,Spain,Spain,Spain,Spain,Spain
EPI_ISL_426365,Mexico,Spain,Mexico,Mexico,Mexico,Spain,Spain,Mexico,Mexico,Mexico,Mexico,Mexico,Mexico
EPI_ISL_424345,Mexico,Spain,UnitedKingdom,Mexico,Mexico,Spain,Spain,Mexico,Mexico,Mexico,Mexico,Mexico,Mexico
EPI_ISL_454533,Spain,Spain,Portugal,India,Mexico,Argentina,India,India,India,Spain,Chile,India,India
EPI_ISL_445252,Spain,Spain,Chile,Spain,Spain,Chile,SaudiArabia,Chile,Chile,Spain,Chile,Spain,Chile
EPI_ISL_438055,Spain,UnitedKingdom,Hungary,Mexico,Spain,Spain,Austria,UnitedKingdom,Austria,Spain,Spain,Spain,Spain
EPI_ISL_423438,Spain,UnitedKingdom,Spain,UnitedKingdom,UnitedKingdom,Spain,Georgia,UnitedKingdom,Portugal,Mexico,UnitedKingdom,Spain,Spain
EPI_ISL_421495,Spain,Spain,Portugal,UnitedKingdom,Spain,Spain,Spain,Chile,Portugal,Portugal,Chile,Spain,Portugal
EPI_ISL_462997,Spain,Spain,Spain,Spain,Spain,Spain,Spain,Spain,Spain,Spain,Spain,Spain,Spain
EPI_ISL_447756,Spain,Spain,Portugal,Spain,UnitedKingdom,Spain,Spain,Chile,India,Spain,Colombia,Spain,Colombia
EPI_ISL_452578,Spain,Spain,Spain,Spain,Spain,Spain,Hungary,Spain,Spain,Spain,Spain,Spain,Spain
EPI_ISL_452480,Spain,Spain,Spain,Spain,Spain,Chile,Spain,Spain,Spain,Spain,Spain,Spain,Spain
EPI_ISL_444973,Spain,Spain,Spain,Spain,Spain,Spain,Spain,Spain,Spain,Spain,Spain,Spain,Spain
EPI_ISL_435128,Sweden,Sweden,Italy,Russia,Brazil,Sweden,Sweden,UnitedArabEmirates,Italy,Austria,Italy,Russia,UnitedArabEmirates
EPI_ISL_454900,Sweden,Sweden,Italy,Russia,France,Sweden,Sweden,UnitedArabEmirates,Italy,Austria,Italy,Sweden,Sweden
EPI_ISL_428879,Russia,Russia,Russia,Russia,Russia,Russia,Russia,Russia,Russia,Russia,Russia,Russia,Russia
EPI_ISL_428870,Russia,Russia,Russia,Russia,Russia,Russia,Russia,Russia,Russia,Russia,Russia,Russia,Russia
EPI_ISL_428960,Luxembourg,Luxembourg,Luxembourg,Luxembourg,Luxembourg,Luxembourg,Luxembourg,Luxembourg,Luxembourg,Luxembourg,Luxembourg,Luxembourg,Luxembourg
EPI_ISL_429734,Luxembourg,Luxembourg,Luxembourg,Luxembourg,Luxembourg,Norway,Luxembourg,UnitedArabEmirates,Luxembourg,Luxembourg,Luxembourg,Luxembourg,Luxembourg
EPI_ISL_457994,Oman,Italy,Oman,Austria,Italy,China,Austria,Oman,Austria,Oman,Austria,Austria,Oman
EPI_ISL_418260,Italy,Italy,Italy,Poland,Italy,Sweden,Italy,Luxembourg,Italy,Italy,Italy,Russia,Italy
EPI_ISL_455446,Poland,Poland,Poland,Poland,Poland,Poland,Poland,Poland,Poland,Poland,Poland,Poland,Poland
EPI_ISL_455445,Poland,Poland,Poland,Poland,Poland,Poland,Poland,Poland,Poland,Poland,Poland,Poland,Poland
EPI_ISL_437354,France,DemocraticRepublicoftheCongo,Belgium,Netherlands,Bangladesh,DemocraticRepublicoftheCongo,Luxembourg,France,DemocraticRepublicoftheCongo,Belgium,Switzerland,DemocraticRepublicoftheCongo,DemocraticRepublicoftheCongo
EPI_ISL_450519,Latvia,Latvia,Latvia,Latvia,Latvia,Latvia,Luxembourg,Latvia,Latvia,France,Italy,Latvia,Latvia
EPI_ISL_435146,Italy,Italy,Italy,Italy,Italy,Italy,Italy,Italy,Italy,Italy,Italy,Italy,Italy
EPI_ISL_435147,Italy,Italy,Italy,Italy,Italy,Italy,Italy,Italy,Italy,Italy,Italy,Italy,Italy
EPI_ISL_437472,SaudiArabia,SaudiArabia,Italy,SaudiArabia,SaudiArabia,SaudiArabia,SaudiArabia,Chile,CzechRepublic,India,SaudiArabia,SaudiArabia,SaudiArabia
EPI_ISL_421655,SaudiArabia,SaudiArabia,Austria,Germany,Latvia,Latvia,Taiwan,Latvia,Germany,SaudiArabia,Germany,Austria,Latvia
EPI_ISL_437752,SaudiArabia,SaudiArabia,SaudiArabia,SaudiArabia,SaudiArabia,BosniaandHerzegovina,SaudiArabia,India,Luxembourg,SaudiArabia,SaudiArabia,SaudiArabia,SaudiArabia
EPI_ISL_454831,SaudiArabia,China,India,India,India,India,SaudiArabia,India,India,India,SaudiArabia,India,India
EPI_ISL_464092,China,China,Italy,Taiwan,Taiwan,China,Taiwan,China,Taiwan,China,China,Taiwan,Taiwan
EPI_ISL_417420,Israel,China,Israel,Israel,Sweden,Israel,Israel,Israel,China,China,NewZealand,Canada,China
EPI_ISL_452354,China,China,Taiwan,Taiwan,Norway,China,China,China,China,China,China,China,China
EPI_ISL_452356,China,China,Poland,USA,Netherlands,China,China,China,China,China,China,China,China
EPI_ISL_435136,UnitedArabEmirates,UnitedArabEmirates,Sweden,UnitedArabEmirates,Norway,Sweden,UnitedArabEmirates,Sweden,UnitedArabEmirates,Japan,Sweden,Sweden,Sweden
EPI_ISL_429136,Sweden,Sweden,Sweden,Sweden,Sweden,Sweden,Sweden,Sweden,Italy,Sweden,Sweden,Sweden,Sweden
EPI_ISL_429141,Sweden,Sweden,Sweden,Sweden,Sweden,Sweden,Sweden,Sweden,Poland,Sweden,Sweden,Sweden,Sweden
EPI_ISL_429158,Sweden,Sweden,Sweden,Sweden,Sweden,Sweden,Sweden,Sweden,Sweden,Sweden,Sweden,Sweden,Sweden
EPI_ISL_448313,UnitedKingdom,UnitedKingdom,UnitedKingdom,UnitedKingdom,UnitedKingdom,UnitedKingdom,UnitedKingdom,Mexico,UnitedKingdom,UnitedKingdom,UnitedKingdom,Mexico,UnitedKingdom
EPI_ISL_424626,UnitedKingdom,UnitedKingdom,UnitedKingdom,Luxembourg,UnitedKingdom,USA,UnitedKingdom,Mexico,UnitedKingdom,UnitedKingdom,UnitedKingdom,DemocraticRepublicoftheCongo,UnitedKingdom
EPI_ISL_443305,Belgium,France,France,France,Luxembourg,France,Netherlands,Netherlands,Canada,France,Luxembourg,Luxembourg,Luxembourg
EPI_ISL_419570,Luxembourg,Luxembourg,Luxembourg,Luxembourg,Luxembourg,Luxembourg,Luxembourg,France,France,Luxembourg,Luxembourg,Luxembourg,Luxembourg
EPI_ISL_417534,Luxembourg,Luxembourg,Luxembourg,Luxembourg,Luxembourg,Luxembourg,Luxembourg,Luxembourg,DemocraticRepublicoftheCongo,France,Luxembourg,Luxembourg,Luxembourg
EPI_ISL_443307,France,France,Italy,France,France,France,France,France,Poland,France,France,France,France
EPI_ISL_448790,Poland,UnitedKingdom,Poland,Germany,Poland,Poland,UnitedKingdom,Germany,Poland,Poland,India,Poland,UnitedKingdom
EPI_ISL_451979,Poland,Poland,Poland,Poland,Poland,Poland,Poland,Poland,Poland,Poland,Italy,Poland,Poland
EPI_ISL_451972,Poland,Poland,Poland,Poland,Poland,Poland,Poland,Poland,Poland,Poland,SaudiArabia,Poland,Poland
EPI_ISL_451978,Poland,Poland,Poland,Poland,Poland,Poland,Poland,Poland,Poland,Poland,Luxembourg,Poland,Poland
EPI_ISL_414624,Italy,France,Italy,Italy,Italy,Italy,Germany,Italy,Italy,Italy,India,Switzerland,Switzerland
EPI_ISL_429732,Italy,France,Italy,Italy,Luxembourg,Italy,Luxembourg,Luxembourg,Luxembourg,Italy,Luxembourg,Luxembourg,Luxembourg
EPI_ISL_413575,Italy,France,Italy,Netherlands,Italy,Italy,Netherlands,Italy,Italy,Italy,Netherlands,Germany,Netherlands
EPI_ISL_428876,Italy,Switzerland,Italy,Italy,Italy,Italy,Sweden,Italy,Russia,Italy,SaudiArabia,Italy,Russia
EPI_ISL_452191,Italy,Italy,Italy,Italy,Italy,Italy,Italy,Italy,Italy,Italy,Italy,Italy,Italy
EPI_ISL_452190,Italy,Italy,Italy,Italy,Italy,Italy,Italy,Italy,Italy,Italy,Italy,Italy,Italy
EPI_ISL_466889,Germany,Germany,Italy,Germany,Germany,Germany,Germany,Germany,Germany,Germany,Germany,Germany,Germany
EPI_ISL_437221,Germany,Germany,Italy,Germany,Germany,Germany,Germany,Germany,Germany,Germany,Germany,Germany,Germany
EPI_ISL_445055,Italy,Switzerland,Italy,Luxembourg,Switzerland,Luxembourg,France,Italy,Italy,Italy,Luxembourg,Luxembourg,Luxembourg
EPI_ISL_451862,Italy,Switzerland,Italy,Luxembourg,Switzerland,Luxembourg,Switzerland,Switzerland,Switzerland,Italy,Luxembourg,Luxembourg,Luxembourg
EPI_ISL_413996,Switzerland,Switzerland,Italy,UnitedKingdom,Italy,Switzerland,Switzerland,Switzerland,Italy,Switzerland,Switzerland,Switzerland,Switzerland
EPI_ISL_418842,Greece,Germany,Italy,Greece,UnitedKingdom,Italy,Canada,UnitedKingdom,UnitedArabEmirates,UnitedKingdom,Japan,Germany,Canada
EPI_ISL_437291,Germany,Germany,Germany,Germany,Germany,Germany,Germany,Germany,Germany,Germany,Germany,Germany,Germany
EPI_ISL_437292,Germany,Germany,Germany,Germany,Germany,Germany,Germany,Germany,Germany,Germany,Germany,Germany,Germany
EPI_ISL_421760,Italy,Italy,Italy,Italy,Italy,Italy,Luxembourg,Italy,Luxembourg,Italy,Italy,Luxembourg,Luxembourg
EPI_ISL_429226,Italy,Italy,Italy,Italy,Italy,Italy,Italy,Italy,Italy,Italy,Italy,Italy,Italy
EPI_ISL_444432,Switzerland,UnitedKingdom,UnitedKingdom,UnitedKingdom,UnitedKingdom,UnitedKingdom,Denmark,Germany,UnitedKingdom,UnitedKingdom,Belgium,UnitedKingdom,UnitedKingdom
EPI_ISL_437911,Greece,UnitedKingdom,UnitedKingdom,Greece,Germany,UnitedKingdom,Netherlands,Germany,Poland,UnitedKingdom,Netherlands,Italy,Luxembourg
EPI_ISL_461965,Italy,UnitedKingdom,Italy,Italy,Germany,Italy,France,UnitedKingdom,UnitedKingdom,UnitedKingdom,India,UnitedKingdom,UnitedKingdom
EPI_ISL_419255,Italy,UnitedKingdom,Italy,USA,Italy,Italy,France,Italy,Italy,Italy,Netherlands,Italy,Italy
EPI_ISL_455468,Australia,Poland,Australia,Spain,Australia,Australia,Switzerland,UnitedKingdom,Australia,Portugal,Spain,Spain,Romania
EPI_ISL_451987,Poland,Poland,Poland,Poland,Poland,Poland,Poland,Poland,Poland,France,Poland,Poland,Poland
EPI_ISL_428927,Poland,Poland,Poland,Poland,Poland,Poland,Poland,Poland,Poland,Poland,Poland,Poland,Poland
EPI_ISL_428929,Poland,Poland,Poland,Poland,Poland,Poland,Poland,Poland,Poland,Poland,Poland,Poland,Poland
EPI_ISL_430796,Spain,Portugal,Spain,Spain,Spain,Argentina,Spain,Luxembourg,Spain,Argentina,Spain,Spain,Spain
EPI_ISL_453998,Portugal,Portugal,Portugal,Portugal,Portugal,Portugal,Portugal,Portugal,Portugal,Portugal,Portugal,Portugal,Portugal
EPI_ISL_453999,Portugal,Portugal,Portugal,Portugal,Portugal,Portugal,Portugal,Portugal,Portugal,Portugal,Portugal,Portugal,Portugal
EPI_ISL_421550,Belgium,USA,USA,CzechRepublic,Brazil,USA,USA,USA,Luxembourg,Chile,Luxembourg,Spain,USA
EPI_ISL_437339,Luxembourg,Spain,Luxembourg,Netherlands,Netherlands,DemocraticRepublicoftheCongo,Luxembourg,Luxembourg,DemocraticRepublicoftheCongo,Belgium,DemocraticRepublicoftheCongo,Luxembourg,DemocraticRepublicoftheCongo
EPI_ISL_444972,Spain,Spain,Spain,Spain,Spain,Spain,Spain,USA,Spain,Poland,Spain,Spain,Spain
EPI_ISL_416143,Netherlands,Italy,UnitedKingdom,Denmark,Russia,UnitedKingdom,Netherlands,Senegal,Denmark,Italy,Sweden,India,India
EPI_ISL_412973,Italy,Italy,Italy,France,Italy,Italy,Sweden,Italy,Italy,Italy,Sweden,Italy,Italy
EPI_ISL_417337,France,France,France,France,France,DemocraticRepublicoftheCongo,France,France,France,France,France,France,France
EPI_ISL_417186,India,France,SouthAfrica,Switzerland,Italy,Sweden,Taiwan,Netherlands,Belgium,India,SouthAfrica,Sweden,SouthAfrica
EPI_ISL_415705,Switzerland,Switzerland,Switzerland,Switzerland,Switzerland,Switzerland,Luxembourg,Switzerland,Switzerland,Latvia,Switzerland,France,Switzerland
EPI_ISL_438009,India,Switzerland,Italy,Austria,Austria,Sweden,Senegal,UnitedKingdom,Italy,Austria,Italy,Italy,Austria
EPI_ISL_428861,Norway,BosniaandHerzegovina,Russia,Luxembourg,Switzerland,Russia,Italy,Norway,Norway,Norway,Russia,Russia,Russia
EPI_ISL_462462,Norway,BosniaandHerzegovina,Italy,France,Switzerland,Norway,Italy,NewZealand,Norway,Norway,BosniaandHerzegovina,Norway,BosniaandHerzegovina
EPI_ISL_460088,Italy,Italy,Belgium,Italy,Belgium,Italy,Italy,Italy,Italy,Italy,India,Italy,Italy
EPI_ISL_464094,Switzerland,Taiwan,Spain,Taiwan,Taiwan,Switzerland,Spain,Taiwan,Taiwan,USA,SaudiArabia,Spain,Romania
EPI_ISL_456219,Switzerland,Taiwan,Iceland,Taiwan,Switzerland,Switzerland,Spain,NewZealand,USA,Switzerland,Chile,Switzerland,Switzerland
EPI_ISL_455472,Romania,Romania,Romania,Romania,Romania,Romania,Denmark,Oman,Romania,Romania,Romania,Romania,Romania
EPI_ISL_455469,Romania,Romania,Romania,Romania,Romania,Romania,Spain,BosniaandHerzegovina,Romania,Romania,Romania,Romania,Romania
EPI_ISL_458248,Switzerland,Switzerland,Switzerland,Taiwan,USA,Switzerland,Spain,USA,USA,USA,Switzerland,Spain,USA
EPI_ISL_466999,Switzerland,Switzerland,Switzerland,Switzerland,Switzerland,Switzerland,Spain,Switzerland,Switzerland,Switzerland,Switzerland,Switzerland,Switzerland
EPI_ISL_467004,Switzerland,Switzerland,Spain,Switzerland,Switzerland,Switzerland,Hungary,Switzerland,Switzerland,Switzerland,Switzerland,Switzerland,Switzerland
EPI_ISL_418215,Senegal,Sweden,Senegal,Senegal,Luxembourg,Italy,Senegal,Senegal,Senegal,Senegal,Senegal,Senegal,Senegal
EPI_ISL_429137,Norway,Sweden,Luxembourg,Sweden,Luxembourg,Sweden,Luxembourg,Italy,Luxembourg,Sweden,Luxembourg,Sweden,Sweden
EPI_ISL_414016,Brazil,Italy,Brazil,Poland,Brazil,Brazil,SouthAfrica,Brazil,Brazil,Brazil,Greece,Spain,Brazil
EPI_ISL_460085,Italy,Italy,Italy,Denmark,Italy,Italy,Italy,Italy,Italy,Italy,Italy,Italy,Italy
EPI_ISL_466954,Switzerland,Switzerland,Switzerland,Switzerland,Germany,Switzerland,Switzerland,Switzerland,Switzerland,India,Switzerland,Switzerland,Switzerland
EPI_ISL_418210,Senegal,Switzerland,Senegal,Senegal,Portugal,Senegal,Senegal,Senegal,Senegal,Senegal,Senegal,Senegal,Senegal
EPI_ISL_454000,India,Switzerland,Netherlands,Portugal,Portugal,Switzerland,France,Portugal,Portugal,Portugal,India,Germany,Portugal
EPI_ISL_466939,Latvia,Switzerland,Switzerland,Switzerland,Switzerland,Switzerland,Switzerland,Switzerland,Switzerland,Switzerland,Switzerland,Switzerland,Switzerland
EPI_ISL_455438,Mexico,Switzerland,Chile,Spain,Chile,Mexico,Spain,Italy,Mexico,Poland,Mexico,Spain,Spain
EPI_ISL_424647,Belgium,Switzerland,Belgium,Switzerland,Belgium,USA,Belgium,France,Belgium,Belgium,Switzerland,Belgium,Belgium
EPI_ISL_421752,Switzerland,Austria,Luxembourg,Luxembourg,Luxembourg,Luxembourg,Luxembourg,France,France,Luxembourg,Luxembourg,Luxembourg,Luxembourg
EPI_ISL_438056,Netherlands,Austria,Netherlands,Norway,Switzerland,Austria,Austria,Netherlands,BosniaandHerzegovina,Netherlands,Austria,Austria,Austria
EPI_ISL_451877,France,Switzerland,Switzerland,Switzerland,Switzerland,Switzerland,Switzerland,Switzerland,Switzerland,Belgium,India,Switzerland,Switzerland
EPI_ISL_420611,Switzerland,Switzerland,Latvia,France,Switzerland,SouthAfrica,France,Switzerland,France,Switzerland,France,France,France
EPI_ISL_417691,Poland,Russia,Switzerland,Luxembourg,Iceland,BosniaandHerzegovina,NewZealand,Iceland,Italy,Switzerland,Netherlands,Italy,Iceland
EPI_ISL_428908,Russia,Russia,Russia,Russia,Russia,Spain,Hungary,Russia,Russia,Russia,Russia,Spain,Russia
EPI_ISL_462473,BosniaandHerzegovina,BosniaandHerzegovina,BosniaandHerzegovina,BosniaandHerzegovina,BosniaandHerzegovina,BosniaandHerzegovina,BosniaandHerzegovina,BosniaandHerzegovina,BosniaandHerzegovina,BosniaandHerzegovina,BosniaandHerzegovina,BosniaandHerzegovina,BosniaandHerzegovina
EPI_ISL_451728,Switzerland,BosniaandHerzegovina,Switzerland,Switzerland,Switzerland,Switzerland,Switzerland,Switzerland,Switzerland,BosniaandHerzegovina,Luxembourg,Switzerland,Switzerland
EPI_ISL_457985,Oman,BosniaandHerzegovina,Oman,DemocraticRepublicoftheCongo,Oman,Oman,Sweden,Oman,Oman,Oman,Uruguay,France,Oman
EPI_ISL_462467,BosniaandHerzegovina,BosniaandHerzegovina,BosniaandHerzegovina,Denmark,BosniaandHerzegovina,BosniaandHerzegovina,BosniaandHerzegovina,BosniaandHerzegovina,BosniaandHerzegovina,BosniaandHerzegovina,BosniaandHerzegovina,BosniaandHerzegovina,BosniaandHerzegovina
EPI_ISL_462452,BosniaandHerzegovina,BosniaandHerzegovina,BosniaandHerzegovina,BosniaandHerzegovina,BosniaandHerzegovina,BosniaandHerzegovina,BosniaandHerzegovina,BosniaandHerzegovina,BosniaandHerzegovina,BosniaandHerzegovina,BosniaandHerzegovina,BosniaandHerzegovina,BosniaandHerzegovina
EPI_ISL_462460,BosniaandHerzegovina,BosniaandHerzegovina,BosniaandHerzegovina,BosniaandHerzegovina,BosniaandHerzegovina,BosniaandHerzegovina,BosniaandHerzegovina,BosniaandHerzegovina,BosniaandHerzegovina,BosniaandHerzegovina,BosniaandHerzegovina,BosniaandHerzegovina,BosniaandHerzegovina
EPI_ISL_462453,BosniaandHerzegovina,BosniaandHerzegovina,BosniaandHerzegovina,Senegal,BosniaandHerzegovina,BosniaandHerzegovina,BosniaandHerzegovina,Spain,BosniaandHerzegovina,BosniaandHerzegovina,BosniaandHerzegovina,BosniaandHerzegovina,BosniaandHerzegovina
EPI_ISL_462454,BosniaandHerzegovina,BosniaandHerzegovina,BosniaandHerzegovina,BosniaandHerzegovina,BosniaandHerzegovina,BosniaandHerzegovina,BosniaandHerzegovina,BosniaandHerzegovina,BosniaandHerzegovina,BosniaandHerzegovina,BosniaandHerzegovina,BosniaandHerzegovina,BosniaandHerzegovina
EPI_ISL_455306,Netherlands,Switzerland,Netherlands,France,Italy,France,France,Netherlands,Netherlands,Netherlands,Netherlands,Netherlands,Netherlands
EPI_ISL_451794,Switzerland,Switzerland,Switzerland,Switzerland,Switzerland,UnitedKingdom,Switzerland,Switzerland,Switzerland,Switzerland,Switzerland,Switzerland,Switzerland
EPI_ISL_424572,UnitedKingdom,Switzerland,UnitedKingdom,UnitedKingdom,UnitedKingdom,UnitedKingdom,UnitedKingdom,UnitedKingdom,UnitedKingdom,UnitedKingdom,UnitedKingdom,Switzerland,Iceland
EPI_ISL_456789,UnitedKingdom,Switzerland,UnitedKingdom,UnitedKingdom,UnitedKingdom,UnitedKingdom,UnitedKingdom,UnitedKingdom,UnitedKingdom,UnitedKingdom,UnitedKingdom,Switzerland,UnitedKingdom
EPI_ISL_435046,Kazakhstan,Belgium,Sweden,Norway,Belgium,Russia,Italy,Japan,Norway,Kazakhstan,Russia,Russia,Kazakhstan
EPI_ISL_464072,Belgium,Belgium,Belgium,Belgium,Belgium,Belgium,Belgium,Switzerland,Belgium,Belgium,Switzerland,Belgium,Belgium
EPI_ISL_458192,Belgium,Belgium,Belgium,Belgium,Belgium,Belgium,Belgium,Belgium,Belgium,Belgium,Switzerland,Belgium,Belgium
EPI_ISL_462457,BosniaandHerzegovina,BosniaandHerzegovina,BosniaandHerzegovina,BosniaandHerzegovina,BosniaandHerzegovina,BosniaandHerzegovina,Switzerland,BosniaandHerzegovina,BosniaandHerzegovina,BosniaandHerzegovina,BosniaandHerzegovina,BosniaandHerzegovina,BosniaandHerzegovina
EPI_ISL_451889,Germany,BosniaandHerzegovina,Switzerland,Netherlands,Switzerland,Switzerland,Switzerland,Switzerland,BosniaandHerzegovina,Switzerland,Italy,Italy,Switzerland
EPI_ISL_462998,Spain,Spain,Spain,Spain,Spain,Argentina,Spain,Spain,Spain,Spain,Spain,Spain,Spain
EPI_ISL_456331,NewZealand,NewZealand,NewZealand,NewZealand,NewZealand,NewZealand,NewZealand,NewZealand,NewZealand,NewZealand,NewZealand,NewZealand,NewZealand
EPI_ISL_456330,NewZealand,NewZealand,NewZealand,NewZealand,NewZealand,NewZealand,NewZealand,NewZealand,NewZealand,NewZealand,NewZealand,NewZealand,NewZealand
EPI_ISL_462472,BosniaandHerzegovina,BosniaandHerzegovina,BosniaandHerzegovina,BosniaandHerzegovina,BosniaandHerzegovina,BosniaandHerzegovina,BosniaandHerzegovina,BosniaandHerzegovina,BosniaandHerzegovina,BosniaandHerzegovina,BosniaandHerzegovina,BosniaandHerzegovina,BosniaandHerzegovina
EPI_ISL_466919,Germany,Germany,Germany,Germany,Germany,Germany,Germany,Germany,Germany,Germany,Germany,Germany,Germany
EPI_ISL_466921,Germany,Germany,Germany,Germany,Germany,Germany,Germany,Germany,Germany,Germany,Germany,Germany,Germany
EPI_ISL_466917,Germany,Germany,Germany,Germany,Germany,Germany,Germany,Germany,Germany,Germany,Germany,Germany,Germany
EPI_ISL_466920,Germany,Germany,Germany,Germany,Germany,Germany,Germany,Germany,Germany,Germany,Germany,Germany,Germany
EPI_ISL_466925,Germany,Germany,Germany,Germany,Germany,Germany,Germany,Germany,Germany,Germany,Germany,Germany,Germany
EPI_ISL_466923,Germany,Germany,Germany,Germany,Germany,Germany,Germany,Germany,Germany,Germany,Germany,Germany,Germany
EPI_ISL_466924,Germany,Germany,Germany,Germany,Germany,Germany,Germany,Germany,Germany,Germany,Germany,Germany,Germany
EPI_ISL_466916,Germany,Germany,Germany,Germany,Germany,Germany,Germany,Germany,Germany,Germany,Germany,Germany,Germany
EPI_ISL_466922,Germany,Germany,Germany,Germany,Germany,Germany,Germany,Germany,Germany,Germany,Germany,Germany,Germany
EPI_ISL_429742,Luxembourg,SouthAfrica,Belgium,Luxembourg,Luxembourg,Luxembourg,Luxembourg,Luxembourg,Luxembourg,Netherlands,Luxembourg,Luxembourg,Luxembourg
EPI_ISL_455636,SouthAfrica,SouthAfrica,SouthAfrica,SouthAfrica,SouthAfrica,SouthAfrica,SouthAfrica,Poland,SouthAfrica,SouthAfrica,SouthAfrica,SouthAfrica,SouthAfrica
EPI_ISL_455633,SouthAfrica,SouthAfrica,SouthAfrica,Denmark,SouthAfrica,Switzerland,SouthAfrica,Belgium,SouthAfrica,SouthAfrica,SouthAfrica,SouthAfrica,SouthAfrica
EPI_ISL_455635,SouthAfrica,SouthAfrica,SouthAfrica,SouthAfrica,SouthAfrica,SouthAfrica,SouthAfrica,China,SouthAfrica,SouthAfrica,SouthAfrica,SouthAfrica,SouthAfrica
EPI_ISL_421575,SouthAfrica,SouthAfrica,SouthAfrica,SouthAfrica,SouthAfrica,SouthAfrica,SouthAfrica,Germany,SouthAfrica,SouthAfrica,SouthAfrica,SouthAfrica,SouthAfrica
EPI_ISL_421574,SouthAfrica,SouthAfrica,SouthAfrica,Denmark,SouthAfrica,SouthAfrica,SouthAfrica,Iceland,SouthAfrica,SouthAfrica,SouthAfrica,SouthAfrica,SouthAfrica
