edges/dates,2019-12,2020-01,2020-02,2020-03,2020-04,2020-05
Malaysia->USA,200, 0, 100, 0, 0, 0
Malaysia->Taiwan,200, 100, 0, 0, 0, 0
China->Brazil,200, 0, 100, 0, 0, 0
SouthKorea->India,200, 0, 100, 0, 0, 0
Netherlands->NewZealand,100, 100, 0, 100, 0, 0
China->Denmark,300, 0, 0, 0, 0, 0
Thailand->UnitedKingdom,300, 0, 0, 0, 0, 0
Thailand->Norway,200, 100, 0, 0, 0, 0
Thailand->Mexico,100, 100, 100, 0, 0, 0
Thailand->France,300, 0, 0, 0, 0, 0
Australia->UnitedArabEmirates,100, 200, 0, 0, 0, 0
Luxembourg->China,100, 0, 200, 0, 0, 0
Taiwan->Thailand,300, 0, 0, 0, 0, 0
Taiwan->Latvia,100, 0, 200, 0, 0, 0
Malaysia->Netherlands,300, 0, 0, 0, 0, 0
Germany->Singapore,200, 0, 100, 0, 0, 0
HongKong->France,100, 200, 0, 0, 0, 0
Australia->SouthKorea,300, 0, 0, 0, 0, 0
Spain->Bangladesh,100, 0, 0, 200, 0, 0
Sweden->Spain,300, 0, 0, 0, 0, 0
BosniaandHerzegovina->Norway,300, 0, 0, 0, 0, 0
Spain->Taiwan,100, 100, 100, 0, 0, 0
Singapore->Belgium,100, 200, 0, 0, 0, 0
Austria->Greece,100, 100, 100, 0, 0, 0
Canada->Finland,100, 0, 200, 0, 0, 0
USA->Argentina,100, 100, 100, 0, 0, 0
Denmark->Jordan,100, 0, 0, 200, 0, 0
Denmark->Georgia,100, 0, 100, 100, 0, 0
Australia->Spain,100, 0, 200, 0, 0, 0
Australia->Norway,100, 100, 0, 100, 0, 0
Germany->SaudiArabia,100, 100, 100, 0, 0, 0
Germany->Bangladesh,100, 0, 100, 100, 0, 0
HongKong->Sweden,0, 300, 0, 0, 0, 0
Singapore->France,0, 200, 100, 0, 0, 0
Sweden->Colombia,0, 100, 200, 0, 0, 0
Oman->Jordan,0, 100, 100, 100, 0, 0
USA->DemocraticRepublicoftheCongo,0, 200, 100, 0, 0, 0
SaudiArabia->China,0, 200, 100, 0, 0, 0
HongKong->Japan,0, 300, 0, 0, 0, 0
Taiwan->Germany,0, 100, 200, 0, 0, 0
Brazil->NewZealand,0, 100, 100, 100, 0, 0
CzechRepublic->Italy,0, 100, 100, 100, 0, 0
Uganda->Jordan,0, 100, 200, 0, 0, 0
Turkey->Taiwan,0, 100, 200, 0, 0, 0
Malaysia->Australia,0, 100, 200, 0, 0, 0
Senegal->Uganda,0, 300, 0, 0, 0, 0
USA->Oman,0, 300, 0, 0, 0, 0
HongKong->Germany,0, 200, 100, 0, 0, 0
Senegal->SaudiArabia,0, 200, 100, 0, 0, 0
Australia->Nigeria,0, 300, 0, 0, 0, 0
Taiwan->Oman,0, 100, 200, 0, 0, 0
NewZealand->Greece,0, 100, 200, 0, 0, 0
Turkey->Oman,0, 100, 200, 0, 0, 0
Austria->Norway,0, 100, 200, 0, 0, 0
Poland->Romania,0, 100, 200, 0, 0, 0
Poland->DemocraticRepublicoftheCongo,0, 100, 0, 200, 0, 0
Japan->SouthAfrica,0, 100, 200, 0, 0, 0
Greece->Nigeria,0, 100, 200, 0, 0, 0
Poland->Uruguay,0, 100, 0, 200, 0, 0
Jordan->Japan,0, 100, 100, 100, 0, 0
Sweden->Turkey,0, 100, 200, 0, 0, 0
Greece->Belgium,0, 100, 100, 100, 0, 0
Iceland->Germany,0, 100, 200, 0, 0, 0
Portugal->Spain,0, 100, 200, 0, 0, 0
BosniaandHerzegovina->Portugal,0, 100, 200, 0, 0, 0
Denmark->Australia,0, 100, 200, 0, 0, 0
Israel->Switzerland,0, 200, 100, 0, 0, 0
SaudiArabia->BosniaandHerzegovina,0, 100, 200, 0, 0, 0
Chile->Bangladesh,0, 100, 200, 0, 0, 0
Russia->SaudiArabia,0, 200, 100, 0, 0, 0
Greece->Switzerland,0, 100, 200, 0, 0, 0
Greece->Japan,0, 100, 200, 0, 0, 0
Denmark->Iceland,0, 100, 0, 200, 0, 0
Israel->Senegal,0, 100, 200, 0, 0, 0
UnitedArabEmirates->Norway,0, 100, 200, 0, 0, 0
CzechRepublic->France,0, 100, 200, 0, 0, 0
Germany->UnitedArabEmirates,0, 100, 200, 0, 0, 0
Norway->Jordan,0, 100, 200, 0, 0, 0
Greece->Russia,0, 200, 100, 0, 0, 0
Sweden->Iceland,0, 200, 100, 0, 0, 0
Latvia->SaudiArabia,0, 100, 200, 0, 0, 0
Turkey->Sweden,0, 100, 200, 0, 0, 0
USA->Greece,0, 100, 200, 0, 0, 0
Israel->Chile,0, 100, 100, 100, 0, 0
Turkey->Norway,0, 100, 200, 0, 0, 0
Japan->Oman,0, 100, 200, 0, 0, 0
Russia->Mexico,0, 0, 200, 100, 0, 0
Portugal->Sweden,0, 0, 200, 100, 0, 0
Oman->Norway,0, 0, 300, 0, 0, 0
Oman->Canada,0, 0, 300, 0, 0, 0
SaudiArabia->UnitedKingdom,0, 0, 200, 100, 0, 0
SaudiArabia->Argentina,0, 0, 300, 0, 0, 0
Greece->Germany,0, 0, 300, 0, 0, 0
Nigeria->UnitedKingdom,0, 0, 300, 0, 0, 0
Brazil->Australia,0, 0, 200, 100, 0, 0
Greece->USA,0, 0, 200, 100, 0, 0
Portugal->USA,0, 0, 300, 0, 0, 0
Portugal->Denmark,0, 0, 300, 0, 0, 0
India->Greece,0, 0, 200, 100, 0, 0
Morocco->Chile,0, 0, 200, 100, 0, 0
Brazil->Hungary,0, 0, 300, 0, 0, 0
Switzerland->Uganda,0, 0, 300, 0, 0, 0
BosniaandHerzegovina->USA,0, 0, 200, 100, 0, 0
Austria->Denmark,0, 0, 300, 0, 0, 0
Poland->Israel,0, 0, 200, 100, 0, 0
SaudiArabia->Malaysia,0, 0, 100, 200, 0, 0
Germany->Greece,0, 0, 200, 100, 0, 0
Germany->Norway,0, 0, 100, 200, 0, 0
USA->Italy,0, 0, 200, 100, 0, 0
Brazil->India,0, 0, 200, 100, 0, 0
Colombia->Austria,0, 0, 300, 0, 0, 0
Colombia->Australia,0, 0, 200, 100, 0, 0
Austria->UnitedKingdom,0, 0, 300, 0, 0, 0
DemocraticRepublicoftheCongo->Portugal,0, 0, 189, 111, 0, 0
DemocraticRepublicoftheCongo->Israel,0, 0, 200, 100, 0, 0
Colombia->SaudiArabia,0, 0, 200, 100, 0, 0
Netherlands->Canada,0, 0, 200, 100, 0, 0
Israel->Nigeria,0, 0, 300, 0, 0, 0
Portugal->Oman,0, 0, 200, 100, 0, 0
Israel->Poland,0, 0, 200, 100, 0, 0
France->Spain,0, 0, 200, 100, 0, 0
Spain->Jordan,0, 0, 300, 0, 0, 0
Australia->Austria,0, 0, 100, 200, 0, 0
Colombia->Germany,0, 0, 200, 100, 0, 0
Portugal->Hungary,0, 0, 200, 100, 0, 0
Belgium->BosniaandHerzegovina,0, 0, 300, 0, 0, 0
BosniaandHerzegovina->Netherlands,0, 0, 100, 200, 0, 0
Italy->SaudiArabia,0, 0, 200, 100, 0, 0
China->DemocraticRepublicoftheCongo,0, 0, 300, 0, 0, 0
Switzerland->Colombia,0, 0, 100, 200, 0, 0
Austria->CzechRepublic,0, 0, 100, 200, 0, 0
Oman->Germany,0, 0, 300, 0, 0, 0
France->Mexico,0, 0, 200, 100, 0, 0
Israel->Finland,0, 0, 200, 100, 0, 0
Jordan->CzechRepublic,0, 0, 200, 100, 0, 0
Romania->Latvia,0, 0, 300, 0, 0, 0
Switzerland->Jordan,0, 0, 200, 100, 0, 0
Canada->China,0, 0, 100, 200, 0, 0
Belgium->Morocco,0, 0, 200, 100, 0, 0
Belgium->Denmark,0, 0, 200, 100, 0, 0
Poland->Thailand,0, 0, 100, 200, 0, 0
Turkey->Vietnam,0, 0, 300, 0, 0, 0
Finland->Australia,0, 0, 100, 200, 0, 0
Finland->USA,0, 0, 200, 100, 0, 0
Iceland->Colombia,0, 0, 200, 100, 0, 0
Denmark->Vietnam,0, 0, 200, 100, 0, 0
Finland->SaudiArabia,0, 0, 100, 200, 0, 0
Austria->Mexico,0, 0, 300, 0, 0, 0
India->Canada,0, 0, 100, 200, 0, 0
Iceland->Austria,0, 0, 100, 200, 0, 0
CzechRepublic->Turkey,0, 0, 0, 300, 0, 0
USA->Portugal,0, 0, 0, 300, 0, 0
Chile->NewZealand,0, 0, 0, 300, 0, 0
Australia->Sweden,0, 0, 0, 300, 0, 0
CzechRepublic->Denmark,0, 0, 0, 300, 0, 0
Uganda->Oman,0, 0, 0, 300, 0, 0
UnitedKingdom->HongKong,298, 0, 0, 0, 0, 0
Luxembourg->Denmark,0, 100, 198, 0, 0, 0
Luxembourg->Mexico,0, 100, 0, 198, 0, 0
Australia->Hungary,0, 0, 197, 100, 0, 0
Argentina->Italy,200, 0, 96, 0, 0, 0
Argentina->Brazil,100, 96, 100, 0, 0, 0
Argentina->UnitedKingdom,0, 96, 100, 100, 0, 0
Argentina->Austria,0, 196, 0, 100, 0, 0
Australia->CzechRepublic,100, 0, 194, 0, 0, 0
Chile->Georgia,0, 0, 194, 100, 0, 0
DemocraticRepublicoftheCongo->Mexico,100, 89, 100, 0, 0, 0
Turkey->France,100, 0, 0, 189, 0, 0
Morocco->India,0, 89, 100, 100, 0, 0
Russia->Norway,0, 200, 89, 0, 0, 0
Russia->Kazakhstan,0, 100, 189, 0, 0, 0
Russia->France,0, 200, 0, 89, 0, 0
Chile->Switzerland,100, 0, 188, 0, 0, 0
HongKong->Vietnam,100, 185, 0, 0, 0, 0
HongKong->USA,0, 285, 0, 0, 0, 0
Chile->Japan,100, 80, 94, 0, 0, 0
Hungary->Austria,0, 73, 200, 0, 0, 0
Hungary->USA,0, 173, 100, 0, 0, 0
Hungary->NewZealand,0, 0, 273, 0, 0, 0
Belgium->USA,0, 169, 100, 0, 0, 0
Colombia->Israel,0, 69, 200, 0, 0, 0
Colombia->Netherlands,0, 69, 100, 100, 0, 0
Colombia->Finland,0, 69, 100, 100, 0, 0
Belgium->Greece,0, 0, 269, 0, 0, 0
Hungary->Netherlands,0, 100, 0, 164, 0, 0
UnitedKingdom->Romania,0, 56, 102, 100, 0, 0
Switzerland->Greece,0, 0, 167, 91, 0, 0
Australia->Singapore,54, 100, 97, 0, 0, 0
Hungary->Jordan,0, 100, 73, 73, 0, 0
Latvia->Brazil,0, 244, 0, 0, 0, 0
Latvia->Netherlands,0, 0, 44, 200, 0, 0
Morocco->UnitedArabEmirates,0, 0, 138, 100, 0, 0
Morocco->Luxembourg,0, 89, 140, 0, 0, 0
India->Switzerland,100, 27, 100, 0, 0, 0
Portugal->Morocco,0, 127, 100, 0, 0, 0
Portugal->Turkey,0, 0, 127, 100, 0, 0
Argentina->Australia,100, 0, 100, 26, 0, 0
Italy->Singapore,0, 200, 0, 26, 0, 0
Uruguay->Spain,0, 225, 0, 0, 0, 0
Argentina->SouthAfrica,0, 0, 122, 96, 0, 0
Italy->Romania,0, 112, 100, 0, 0, 0
DemocraticRepublicoftheCongo->USA,0, 0, 111, 100, 0, 0
DemocraticRepublicoftheCongo->Sweden,0, 0, 199, 11, 0, 0
Norway->Sweden,0, 0, 208, 0, 0, 0
Norway->Finland,0, 0, 204, 4, 0, 0
Russia->Belgium,0, 5, 200, 0, 0, 0
Belgium->Iceland,0, 0, 105, 100, 0, 0
Norway->Luxembourg,100, 0, 100, 4, 0, 0
Canada->Germany,100, 0, 104, 0, 0, 0
Norway->Oman,0, 0, 200, 4, 0, 0
Vietnam->Mexico,0, 0, 204, 0, 0, 0
Norway->Colombia,0, 0, 204, 0, 0, 0
Norway->Belgium,0, 0, 100, 104, 0, 0
Netherlands->Japan,0, 3, 200, 0, 0, 0
CzechRepublic->Hungary,0, 0, 203, 0, 0, 0
Netherlands->Hungary,0, 0, 200, 3, 0, 0
Switzerland->Senegal,201, 0, 0, 0, 0, 0
HongKong->Italy,101, 100, 0, 0, 0, 0
Taiwan->Belgium,200, 0, 0, 0, 0, 0
Argentina->Mexico,100, 100, 0, 0, 0, 0
Singapore->Austria,100, 0, 100, 0, 0, 0
Spain->NewZealand,100, 0, 0, 100, 0, 0
Singapore->NewZealand,100, 0, 100, 0, 0, 0
Vietnam->BosniaandHerzegovina,100, 0, 100, 0, 0, 0
Vietnam->Senegal,100, 0, 100, 0, 0, 0
Mexico->Georgia,100, 0, 100, 0, 0, 0
Austria->DemocraticRepublicoftheCongo,100, 0, 100, 0, 0, 0
Bangladesh->Morocco,100, 0, 100, 0, 0, 0
Morocco->Israel,100, 0, 0, 100, 0, 0
Poland->China,100, 0, 100, 0, 0, 0
BosniaandHerzegovina->SouthAfrica,100, 0, 0, 100, 0, 0
BosniaandHerzegovina->Austria,200, 0, 0, 0, 0, 0
BosniaandHerzegovina->Belgium,100, 100, 0, 0, 0, 0
Spain->Kazakhstan,100, 0, 100, 0, 0, 0
Spain->Brazil,200, 0, 0, 0, 0, 0
Norway->India,100, 0, 100, 0, 0, 0
Norway->DemocraticRepublicoftheCongo,100, 0, 100, 0, 0, 0
Norway->Russia,200, 0, 0, 0, 0, 0
Germany->Uruguay,200, 0, 0, 0, 0, 0
Argentina->India,200, 0, 0, 0, 0, 0
BosniaandHerzegovina->Russia,100, 0, 100, 0, 0, 0
Jordan->Bangladesh,100, 100, 0, 0, 0, 0
Jordan->Israel,100, 100, 0, 0, 0, 0
Vietnam->Argentina,100, 0, 100, 0, 0, 0
Germany->Thailand,200, 0, 0, 0, 0, 0
DemocraticRepublicoftheCongo->Netherlands,100, 100, 0, 0, 0, 0
Australia->Luxembourg,100, 0, 100, 0, 0, 0
India->Senegal,100, 0, 100, 0, 0, 0
Austria->Turkey,100, 0, 100, 0, 0, 0
Poland->Bangladesh,100, 0, 100, 0, 0, 0
Poland->Turkey,100, 100, 0, 0, 0, 0
UnitedArabEmirates->Latvia,100, 100, 0, 0, 0, 0
Japan->Norway,100, 100, 0, 0, 0, 0
Belgium->Bangladesh,100, 0, 100, 0, 0, 0
Belgium->Russia,100, 100, 0, 0, 0, 0
Bangladesh->Japan,100, 0, 100, 0, 0, 0
Brazil->Austria,100, 100, 0, 0, 0, 0
DemocraticRepublicoftheCongo->Singapore,100, 0, 100, 0, 0, 0
UnitedKingdom->Sweden,100, 0, 100, 0, 0, 0
SouthKorea->Taiwan,100, 0, 100, 0, 0, 0
Austria->Taiwan,200, 0, 0, 0, 0, 0
Austria->Thailand,100, 100, 0, 0, 0, 0
Austria->SouthAfrica,100, 0, 100, 0, 0, 0
Australia->Vietnam,100, 0, 100, 0, 0, 0
Netherlands->SouthKorea,200, 0, 0, 0, 0, 0
Thailand->NewZealand,200, 0, 0, 0, 0, 0
Switzerland->Finland,100, 0, 0, 100, 0, 0
Thailand->Germany,100, 100, 0, 0, 0, 0
Thailand->Sweden,200, 0, 0, 0, 0, 0
Luxembourg->HongKong,100, 0, 0, 100, 0, 0
Taiwan->Norway,100, 0, 100, 0, 0, 0
Thailand->Austria,100, 100, 0, 0, 0, 0
HongKong->Malaysia,100, 100, 0, 0, 0, 0
Thailand->Netherlands,100, 100, 0, 0, 0, 0
HongKong->Spain,200, 0, 0, 0, 0, 0
NewZealand->Canada,100, 0, 0, 100, 0, 0
Sweden->Argentina,100, 0, 0, 100, 0, 0
Brazil->Romania,100, 0, 0, 100, 0, 0
Romania->Poland,100, 0, 100, 0, 0, 0
Norway->Spain,100, 100, 0, 0, 0, 0
Singapore->Colombia,100, 0, 100, 0, 0, 0
Austria->Finland,100, 0, 100, 0, 0, 0
Austria->Colombia,100, 0, 0, 100, 0, 0
Austria->Japan,100, 100, 0, 0, 0, 0
Canada->Taiwan,100, 0, 100, 0, 0, 0
Canada->UnitedArabEmirates,100, 100, 0, 0, 0, 0
USA->Russia,100, 0, 0, 100, 0, 0
Japan->Finland,100, 100, 0, 0, 0, 0
Australia->Jordan,100, 100, 0, 0, 0, 0
Norway->SouthKorea,100, 100, 0, 0, 0, 0
Chile->Canada,0, 200, 0, 0, 0, 0
Chile->SaudiArabia,0, 100, 0, 100, 0, 0
Vietnam->China,0, 200, 0, 0, 0, 0
Brazil->Colombia,0, 200, 0, 0, 0, 0
Turkey->UnitedArabEmirates,0, 200, 0, 0, 0, 0
China->Uganda,0, 100, 100, 0, 0, 0
Senegal->Poland,0, 100, 100, 0, 0, 0
Russia->China,0, 100, 100, 0, 0, 0
Thailand->Georgia,0, 100, 0, 100, 0, 0
Turkey->Italy,0, 100, 100, 0, 0, 0
UnitedArabEmirates->Georgia,0, 200, 0, 0, 0, 0
UnitedArabEmirates->India,0, 200, 0, 0, 0, 0
Georgia->Italy,0, 200, 0, 0, 0, 0
Senegal->Singapore,0, 200, 0, 0, 0, 0
Senegal->India,0, 100, 100, 0, 0, 0
Luxembourg->CzechRepublic,0, 100, 100, 0, 0, 0
Belgium->Portugal,0, 100, 0, 100, 0, 0
Belgium->Jordan,0, 100, 100, 0, 0, 0
Belgium->Brazil,0, 100, 100, 0, 0, 0
Chile->Taiwan,0, 200, 0, 0, 0, 0
SouthKorea->NewZealand,0, 200, 0, 0, 0, 0
NewZealand->Norway,0, 200, 0, 0, 0, 0
France->Thailand,0, 200, 0, 0, 0, 0
CzechRepublic->India,0, 200, 0, 0, 0, 0
CzechRepublic->Morocco,0, 100, 0, 100, 0, 0
CzechRepublic->BosniaandHerzegovina,0, 200, 0, 0, 0, 0
India->Norway,0, 100, 0, 100, 0, 0
Israel->Taiwan,0, 200, 0, 0, 0, 0
Israel->Greece,0, 100, 100, 0, 0, 0
Israel->Norway,0, 200, 0, 0, 0, 0
Taiwan->Chile,0, 100, 100, 0, 0, 0
NewZealand->Australia,0, 100, 0, 100, 0, 0
NewZealand->Iceland,0, 200, 0, 0, 0, 0
Thailand->USA,0, 100, 100, 0, 0, 0
DemocraticRepublicoftheCongo->Iceland,0, 100, 100, 0, 0, 0
DemocraticRepublicoftheCongo->Colombia,0, 100, 0, 100, 0, 0
UnitedArabEmirates->Italy,0, 100, 100, 0, 0, 0
UnitedArabEmirates->Russia,0, 100, 100, 0, 0, 0
Chile->Malaysia,0, 200, 0, 0, 0, 0
UnitedArabEmirates->Japan,0, 200, 0, 0, 0, 0
Japan->SouthKorea,0, 100, 100, 0, 0, 0
Singapore->BosniaandHerzegovina,0, 100, 100, 0, 0, 0
NewZealand->Brazil,0, 100, 100, 0, 0, 0
Jordan->Singapore,0, 100, 0, 100, 0, 0
Brazil->Taiwan,0, 200, 0, 0, 0, 0
Greece->Colombia,0, 200, 0, 0, 0, 0
Poland->Spain,0, 100, 100, 0, 0, 0
Iceland->Greece,0, 100, 100, 0, 0, 0
Iceland->Portugal,0, 100, 100, 0, 0, 0
Portugal->Argentina,0, 100, 100, 0, 0, 0
Portugal->CzechRepublic,0, 100, 100, 0, 0, 0
Portugal->Senegal,0, 200, 0, 0, 0, 0
Austria->Canada,0, 100, 100, 0, 0, 0
Oman->SaudiArabia,0, 200, 0, 0, 0, 0
Denmark->Taiwan,0, 100, 100, 0, 0, 0
Israel->Iceland,0, 100, 100, 0, 0, 0
Israel->Vietnam,0, 100, 100, 0, 0, 0
Oman->Taiwan,0, 100, 100, 0, 0, 0
Luxembourg->Japan,0, 100, 100, 0, 0, 0
USA->Uganda,0, 100, 100, 0, 0, 0
Spain->Vietnam,0, 100, 100, 0, 0, 0
USA->Bangladesh,0, 100, 100, 0, 0, 0
Vietnam->Luxembourg,0, 100, 100, 0, 0, 0
Greece->Taiwan,0, 100, 100, 0, 0, 0
Bangladesh->Greece,0, 100, 0, 100, 0, 0
Bangladesh->Oman,0, 100, 100, 0, 0, 0
Russia->Georgia,0, 100, 100, 0, 0, 0
Colombia->Chile,0, 100, 100, 0, 0, 0
Taiwan->Mexico,0, 100, 100, 0, 0, 0
Brazil->Belgium,0, 200, 0, 0, 0, 0
Brazil->Denmark,0, 100, 100, 0, 0, 0
Brazil->Portugal,0, 100, 100, 0, 0, 0
India->Brazil,0, 100, 100, 0, 0, 0
Denmark->Russia,0, 100, 0, 100, 0, 0
Belgium->Colombia,0, 100, 100, 0, 0, 0
Australia->DemocraticRepublicoftheCongo,0, 100, 100, 0, 0, 0
Australia->Brazil,0, 100, 100, 0, 0, 0
CzechRepublic->USA,0, 100, 100, 0, 0, 0
NewZealand->Chile,0, 100, 100, 0, 0, 0
Australia->Netherlands,0, 100, 100, 0, 0, 0
Russia->Romania,0, 100, 0, 100, 0, 0
Greece->Iceland,0, 100, 100, 0, 0, 0
Greece->Morocco,0, 100, 100, 0, 0, 0
Greece->Thailand,0, 100, 100, 0, 0, 0
Greece->Netherlands,0, 100, 100, 0, 0, 0
Latvia->Poland,0, 100, 0, 100, 0, 0
Singapore->DemocraticRepublicoftheCongo,0, 100, 0, 100, 0, 0
Canada->Australia,0, 100, 100, 0, 0, 0
Kazakhstan->Senegal,0, 100, 100, 0, 0, 0
Sweden->Georgia,0, 100, 100, 0, 0, 0
Sweden->Finland,0, 200, 0, 0, 0, 0
Finland->Denmark,0, 100, 100, 0, 0, 0
SaudiArabia->Taiwan,0, 100, 100, 0, 0, 0
Vietnam->Israel,0, 0, 200, 0, 0, 0
Latvia->BosniaandHerzegovina,0, 0, 200, 0, 0, 0
Sweden->Jordan,0, 0, 100, 100, 0, 0
Bangladesh->Belgium,0, 0, 200, 0, 0, 0
Vietnam->France,0, 0, 100, 100, 0, 0
DemocraticRepublicoftheCongo->UnitedArabEmirates,0, 0, 100, 100, 0, 0
Portugal->Brazil,0, 0, 200, 0, 0, 0
Oman->India,0, 0, 200, 0, 0, 0
Turkey->Bangladesh,0, 0, 100, 100, 0, 0
Austria->Kazakhstan,0, 0, 200, 0, 0, 0
Austria->Sweden,0, 0, 200, 0, 0, 0
SaudiArabia->Greece,0, 0, 100, 100, 0, 0
SaudiArabia->Switzerland,0, 0, 200, 0, 0, 0
BosniaandHerzegovina->Uganda,0, 0, 200, 0, 0, 0
Greece->Uganda,0, 0, 200, 0, 0, 0
Italy->Uruguay,0, 0, 100, 100, 0, 0
Luxembourg->NewZealand,0, 0, 200, 0, 0, 0
Norway->SaudiArabia,0, 0, 200, 0, 0, 0
USA->CzechRepublic,0, 0, 200, 0, 0, 0
Denmark->Canada,0, 0, 100, 100, 0, 0
Russia->Thailand,0, 0, 200, 0, 0, 0
Greece->Poland,0, 0, 200, 0, 0, 0
SaudiArabia->UnitedArabEmirates,0, 0, 200, 0, 0, 0
Australia->Israel,0, 0, 100, 100, 0, 0
Singapore->Finland,0, 0, 200, 0, 0, 0
Brazil->Uganda,0, 0, 200, 0, 0, 0
Portugal->Uganda,0, 0, 200, 0, 0, 0
Japan->Turkey,0, 0, 100, 100, 0, 0
India->Chile,0, 0, 200, 0, 0, 0
Greece->BosniaandHerzegovina,0, 0, 200, 0, 0, 0
Greece->Jordan,0, 0, 200, 0, 0, 0
Greece->Italy,0, 0, 100, 100, 0, 0
SaudiArabia->Mexico,0, 0, 200, 0, 0, 0
Oman->France,0, 0, 100, 100, 0, 0
Portugal->NewZealand,0, 0, 200, 0, 0, 0
Austria->Hungary,0, 0, 200, 0, 0, 0
Morocco->France,0, 0, 200, 0, 0, 0
Brazil->Turkey,0, 0, 100, 100, 0, 0
Taiwan->Bangladesh,0, 0, 100, 100, 0, 0
Poland->Finland,0, 0, 200, 0, 0, 0
Singapore->SouthAfrica,0, 0, 100, 100, 0, 0
Taiwan->Colombia,0, 0, 100, 100, 0, 0
India->Colombia,0, 0, 100, 100, 0, 0
CzechRepublic->Netherlands,0, 0, 100, 100, 0, 0
Israel->India,0, 0, 200, 0, 0, 0
India->Morocco,0, 0, 100, 100, 0, 0
Belgium->SouthAfrica,0, 0, 200, 0, 0, 0
BosniaandHerzegovina->Denmark,0, 0, 100, 100, 0, 0
USA->Georgia,0, 0, 200, 0, 0, 0
Oman->Poland,0, 0, 100, 100, 0, 0
Jordan->USA,0, 0, 100, 100, 0, 0
Jordan->Colombia,0, 0, 200, 0, 0, 0
Belgium->NewZealand,0, 0, 100, 100, 0, 0
Canada->Senegal,0, 0, 200, 0, 0, 0
Canada->Colombia,0, 0, 200, 0, 0, 0
Canada->Netherlands,0, 0, 200, 0, 0, 0
Hungary->Mexico,0, 0, 200, 0, 0, 0
Norway->Canada,0, 0, 200, 0, 0, 0
Norway->Mexico,0, 0, 200, 0, 0, 0
Norway->Vietnam,0, 0, 100, 100, 0, 0
Taiwan->Austria,0, 0, 200, 0, 0, 0
Vietnam->HongKong,0, 0, 200, 0, 0, 0
Morocco->Georgia,0, 0, 200, 0, 0, 0
USA->Hungary,0, 0, 200, 0, 0, 0
USA->Iceland,0, 0, 100, 100, 0, 0
Poland->UnitedArabEmirates,0, 0, 200, 0, 0, 0
SaudiArabia->Norway,0, 0, 200, 0, 0, 0
Israel->Morocco,0, 0, 200, 0, 0, 0
Oman->Belgium,0, 0, 200, 0, 0, 0
India->Argentina,0, 0, 200, 0, 0, 0
Mexico->Chile,0, 0, 200, 0, 0, 0
Taiwan->Uruguay,0, 0, 200, 0, 0, 0
Finland->Senegal,0, 0, 200, 0, 0, 0
Finland->Austria,0, 0, 100, 100, 0, 0
Austria->Portugal,0, 0, 200, 0, 0, 0
Germany->Oman,0, 0, 200, 0, 0, 0
Spain->Uruguay,0, 0, 200, 0, 0, 0
France->Uruguay,0, 0, 100, 100, 0, 0
Austria->India,0, 0, 200, 0, 0, 0
Senegal->Bangladesh,0, 0, 200, 0, 0, 0
Hungary->Denmark,0, 0, 200, 0, 0, 0
Russia->Hungary,0, 0, 200, 0, 0, 0
Japan->Morocco,0, 0, 100, 100, 0, 0
Colombia->NewZealand,0, 0, 200, 0, 0, 0
Taiwan->Hungary,0, 0, 200, 0, 0, 0
Chile->Finland,0, 0, 200, 0, 0, 0
Netherlands->Mexico,0, 0, 200, 0, 0, 0
China->Switzerland,0, 0, 100, 100, 0, 0
Vietnam->SouthAfrica,0, 0, 200, 0, 0, 0
Romania->Italy,0, 0, 200, 0, 0, 0
Poland->NewZealand,0, 0, 100, 100, 0, 0
Poland->Singapore,0, 0, 100, 100, 0, 0
Finland->Japan,0, 0, 100, 100, 0, 0
Colombia->Jordan,0, 0, 100, 100, 0, 0
Vietnam->Turkey,0, 0, 200, 0, 0, 0
Norway->Argentina,0, 0, 100, 100, 0, 0
Hungary->Iceland,0, 0, 100, 100, 0, 0
Denmark->Brazil,0, 0, 100, 100, 0, 0
Jordan->Italy,0, 0, 100, 100, 0, 0
Brazil->Canada,0, 0, 200, 0, 0, 0
Denmark->Norway,0, 0, 100, 100, 0, 0
Latvia->Oman,0, 0, 100, 100, 0, 0
Iceland->Argentina,0, 0, 100, 100, 0, 0
Canada->Nigeria,0, 0, 200, 0, 0, 0
Russia->NewZealand,0, 0, 100, 100, 0, 0
Finland->Malaysia,0, 0, 200, 0, 0, 0
Japan->Brazil,0, 0, 100, 100, 0, 0
Senegal->Australia,0, 0, 200, 0, 0, 0
Sweden->Morocco,0, 0, 200, 0, 0, 0
Bangladesh->Portugal,0, 0, 100, 100, 0, 0
Iceland->Netherlands,0, 0, 100, 100, 0, 0
Taiwan->Turkey,0, 0, 200, 0, 0, 0
Latvia->USA,0, 0, 100, 100, 0, 0
Malaysia->Iceland,0, 0, 100, 100, 0, 0
Finland->Greece,0, 0, 100, 100, 0, 0
BosniaandHerzegovina->Canada,0, 0, 100, 100, 0, 0
Colombia->Portugal,0, 0, 100, 100, 0, 0
Belgium->CzechRepublic,0, 0, 0, 200, 0, 0
Bangladesh->India,0, 0, 0, 200, 0, 0
Poland->Oman,0, 0, 0, 200, 0, 0
Turkey->Brazil,0, 0, 0, 200, 0, 0
NewZealand->Poland,0, 0, 0, 200, 0, 0
Belgium->Vietnam,0, 0, 0, 200, 0, 0
Argentina->DemocraticRepublicoftheCongo,0, 0, 0, 200, 0, 0
